"function","flagCount","securityFlags","networkAPICount","riskLevel"
"https://mkg.com/data#main","11","CALLS_DANGEROUS_FUNCTIONS, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, FORMAT_STRING_RISK, ACCEPTS_CONNECTIONS, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE, INTEGER_OVERFLOW_RISK, WRITES_FILES, CONTAINS_DOMAINS","2","HIGH"
"https://mkg.com/data#create_and_bind","9","CALLS_DANGEROUS_FUNCTIONS, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, HIGH_RISK, FORMAT_STRING_RISK, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE, PERFORMS_DNS_LOOKUP, WRITES_FILES","6","HIGH"
"https://mkg.com/data#broadcast","6","CALLS_DANGEROUS_FUNCTIONS, BUFFER_OVERFLOW_RISK, HIGH_RISK, FORMAT_STRING_RISK, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE","1","HIGH"
"https://mkg.com/data#fdgets","5","MEDIUM_RISK, FILE_IO_CAPABLE, POTENTIAL_DATA_EXFILTRATION, READS_FILES, NETWORK_CAPABLE","1","MEDIUM"
"https://mkg.com/data#titleWriter","5","CALLS_DANGEROUS_FUNCTIONS, BUFFER_OVERFLOW_RISK, HIGH_RISK, NETWORK_WITH_VULN_RISK, NETWORK_CAPABLE","1","HIGH"
"https://mkg.com/data#telnetListener","2","ACCEPTS_CONNECTIONS, NETWORK_CAPABLE","4","LOW"
"https://mkg.com/data#make_socket_non_blocking","1","FILE_IO_CAPABLE","0","LOW"
